FID	IID	GWAS_Pheno
line_21	line_21	0.99774556
line_26	line_26	-0.878539792
line_28	line_28	-0.351360369
line_31	line_31	0.878662235
line_32	line_32	0.547846592
line_38	line_38	-1.118583146
line_40	line_40	-0.913285185
line_41	line_41	1.751124044
line_42	line_42	-1.736809907
line_45	line_45	0.457668506
line_57	line_57	2.125654594
line_59	line_59	0.146015959
line_69	line_69	-1.17532281
line_73	line_73	1.180919617
line_75	line_75	1.312389148
line_83	line_83	-0.314386854
line_85	line_85	1.059289866
line_88	line_88	-0.701460423
line_91	line_91	-0.263677397
line_93	line_93	0.587765503
line_100	line_100	-1.304181775
line_101	line_101	0.900761912
line_105	line_105	0.764871815
line_109	line_109	-0.359948389
line_129	line_129	-1.452814298
line_136	line_136	0.932248709
line_138	line_138	1.429519281
line_142	line_142	-1.361259941
line_149	line_149	0.51910547
line_153	line_153	-3.207991234
line_176	line_176	-1.42093336
line_177	line_177	-1.428336642
line_181	line_181	1.755821832
line_195	line_195	-0.678532659
line_208	line_208	1.004299453
line_217	line_217	-0.559824868
line_228	line_228	-0.453734771
line_229	line_229	-0.220422456
line_235	line_235	-0.282688969
line_239	line_239	0.101016581
line_256	line_256	1.308938818
line_287	line_287	2.705392944
line_301	line_301	1.124658578
line_303	line_303	0.48508807
line_307	line_307	-2.16286015
line_309	line_309	0.433267822
line_310	line_310	-0.31488205
line_313	line_313	1.193013153
line_315	line_315	-0.641512827
line_317	line_317	0.243665894
line_318	line_318	2.943501393
line_319	line_319	1.212936813
line_321	line_321	0.082586076
line_324	line_324	-1.696095297
line_332	line_332	0.482254709
line_335	line_335	1.401308876
line_336	line_336	-0.338619004
line_348	line_348	1.987418573
line_350	line_350	0.169413664
line_355	line_355	1.794603777
line_356	line_356	0.014482229
line_358	line_358	0.348418186
line_359	line_359	-1.230312162
line_360	line_360	-0.384097807
line_361	line_361	-1.39474864
line_362	line_362	0.342316537
line_365	line_365	0.034092104
line_370	line_370	0.97205634
line_371	line_371	-1.260742979
line_374	line_374	-0.497407453
line_375	line_375	-1.021713361
line_377	line_377	-0.368512225
line_379	line_379	0.169057357
line_380	line_380	0.195530017
line_382	line_382	1.365032686
line_383	line_383	-1.962268063
line_385	line_385	0.182648143
line_386	line_386	-0.528840619
line_390	line_390	0.270047723
line_391	line_391	1.318041563
line_395	line_395	0.346672589
line_397	line_397	-1.161795187
line_399	line_399	0.2173638
line_405	line_405	1.331570212
line_426	line_426	-0.166174796
line_427	line_427	1.711743168
line_437	line_437	-0.357585204
line_440	line_440	-0.373772001
line_441	line_441	-1.699145269
line_443	line_443	2.000975479
line_461	line_461	0.802219672
line_486	line_486	-1.445015665
line_491	line_491	1.757497131
line_492	line_492	1.039048997
line_502	line_502	0.155633275
line_505	line_505	-0.528284548
line_508	line_508	0.461287238
line_517	line_517	2.011708224
line_528	line_528	1.936026197
line_530	line_530	-0.229282448
line_531	line_531	1.735939304
line_535	line_535	-2.206137149
line_551	line_551	0.093366232
line_555	line_555	-0.84913304
line_559	line_559	-0.704485359
line_566	line_566	-0.5601052
line_584	line_584	-0.080603595
line_589	line_589	-0.082464755
line_595	line_595	0.38641996
line_627	line_627	-0.347554558
line_630	line_630	1.16940301
line_634	line_634	-0.120934761
line_646	line_646	-2.413315723
line_705	line_705	-0.013380118
line_712	line_712	-1.612032923
line_716	line_716	-0.404037527
line_721	line_721	0.808748725
line_738	line_738	0.573067314
line_761	line_761	-1.44270728
line_765	line_765	-0.558154209
line_776	line_776	2.126076525
line_783	line_783	0.249946632
line_790	line_790	0.928044639
line_796	line_796	1.714047172
line_799	line_799	0.654122987
line_804	line_804	-0.949471742
line_805	line_805	1.126254136
line_812	line_812	-0.823725132
line_818	line_818	1.05454015
line_819	line_819	1.199913029
line_822	line_822	1.405443761
line_843	line_843	1.760336909
line_850	line_850	-0.376420853
line_853	line_853	-0.919693432
line_859	line_859	0.853562764
line_890	line_890	-0.87977921
line_892	line_892	-0.359916042
line_907	line_907	0.057577204
line_911	line_911	1.057229348
line_913	line_913	0.57886794
