FID IID wolbachia In.2L.t In.2R.NS In.3R.P In.3R.K In.3R.Mo
line_21 line_21 1 0 0 0 0 0
line_26 line_26 0 2 0 0 0 0
line_28 line_28 0 0 2 0 0 0
line_31 line_31 0 0 0 0 1 0
line_32 line_32 0 2 0 0 0 2
line_38 line_38 0 0 0 0 1 0
line_40 line_40 1 0 0 0 0 0
line_41 line_41 0 0 0 0 0 0
line_42 line_42 0 0 0 0 0 0
line_45 line_45 0 0 0 0 0 0
line_57 line_57 0 0 0 0 0 0
line_59 line_59 0 0 0 0 0 0
line_69 line_69 1 0 2 0 0 0
line_73 line_73 1 0 0 0 0 0
line_75 line_75 1 0 0 0 0 0
line_83 line_83 0 0 0 0 0 0
line_85 line_85 0 1 0 0 0 0
line_88 line_88 0 1 0 0 0 0
line_91 line_91 0 0 0 0 0 0
line_93 line_93 0 2 0 0 0 0
line_100 line_100 1 1 0 0 2 0
line_101 line_101 0 1 0 0 0 0
line_105 line_105 0 0 0 0 2 0
line_109 line_109 0 1 0 0 0 0
line_129 line_129 0 0 0 0 0 0
line_136 line_136 1 0 0 0 1 0
line_138 line_138 0 0 0 2 0 0
line_142 line_142 1 0 0 0 0 0
line_149 line_149 1 0 0 0 0 0
line_153 line_153 1 0 0 0 0 0
line_176 line_176 1 0 0 0 0 0
line_177 line_177 0 0 0 0 0 0
line_181 line_181 1 0 0 0 0 0
line_195 line_195 0 0 0 0 0 0
line_208 line_208 0 0 0 0 0 0
line_217 line_217 0 0 0 0 0 0
line_228 line_228 0 0 0 0 0 0
line_229 line_229 0 0 0 0 0 0
line_235 line_235 0 0 0 0 0 0
line_239 line_239 0 0 0 0 0 0
line_256 line_256 1 0 0 0 0 0
line_287 line_287 1 0 0 0 0 0
line_301 line_301 0 1 0 0 0 0
line_303 line_303 0 1 1 0 0 0
line_307 line_307 0 0 0 0 0 0
line_309 line_309 0 0 0 0 1 0
line_310 line_310 1 0 0 0 0 0
line_313 line_313 0 2 0 0 0 0
line_315 line_315 0 0 0 0 0 0
line_317 line_317 1 0 0 0 0 1
line_318 line_318 1 0 0 0 0 0
line_319 line_319 1 0 0 0 0 0
line_321 line_321 1 0 0 0 0 0
line_324 line_324 0 0 0 0 0 2
line_332 line_332 0 0 0 0 0 0
line_335 line_335 1 0 0 0 0 1
line_336 line_336 1 1 1 0 0 0
line_348 line_348 0 2 0 0 0 2
line_350 line_350 0 2 0 0 0 2
line_355 line_355 1 0 0 0 0 0
line_356 line_356 1 0 0 0 0 0
line_358 line_358 0 2 0 0 0 2
line_359 line_359 0 2 0 0 0 0
line_360 line_360 1 0 0 0 0 0
line_361 line_361 1 0 0 1 0 0
line_362 line_362 1 0 0 0 0 0
line_365 line_365 1 0 0 0 0 0
line_370 line_370 1 0 0 0 0 0
line_371 line_371 0 0 0 0 0 0
line_374 line_374 1 0 0 0 0 2
line_375 line_375 0 0 0 0 0 0
line_377 line_377 0 1 1 0 0 0
line_379 line_379 0 0 0 0 0 0
line_380 line_380 1 0 0 0 0 0
line_382 line_382 1 0 0 0 0 0
line_383 line_383 1 2 0 0 0 0
line_385 line_385 0 0 0 0 0 0
line_386 line_386 0 2 0 0 0 0
line_390 line_390 0 2 0 0 0 1
line_391 line_391 0 0 0 0 0 0
line_395 line_395 0 0 0 0 0 0
line_397 line_397 1 0 0 1 0 0
line_399 line_399 0 0 0 0 0 0
line_405 line_405 1 1 0 0 0 0
line_426 line_426 0 1 1 0 0 0
line_427 line_427 0 0 0 0 0 0
line_437 line_437 0 0 0 0 0 2
line_440 line_440 1 0 0 0 1 0
line_441 line_441 1 0 0 0 0 0
line_443 line_443 0 1 0 0 0 0
line_461 line_461 1 0 0 0 0 0
line_486 line_486 1 0 0 0 0 0
line_491 line_491 0 0 0 0 0 0
line_492 line_492 0 1 0 0 0 1
line_502 line_502 0 1 0 0 0 0
line_505 line_505 1 0 0 0 0 0
line_508 line_508 0 0 0 0 0 0
line_517 line_517 0 0 0 0 0 0
line_528 line_528 1 1 1 0 0 0
line_530 line_530 1 0 0 0 0 0
line_531 line_531 1 0 0 0 0 0
line_535 line_535 1 0 0 0 0 0
line_551 line_551 1 0 0 0 0 1
line_555 line_555 1 0 0 0 0 2
line_559 line_559 0 0 0 0 1 1
line_566 line_566 0 0 0 0 0 1
line_584 line_584 1 2 0 0 0 0
line_589 line_589 1 0 0 0 0 0
line_595 line_595 1 1 0 0 0 0
line_627 line_627 0 2 0 0 0 0
line_630 line_630 0 2 0 1 0 0
line_634 line_634 1 0 0 1 0 0
line_646 line_646 1 0 0 0 2 0
line_705 line_705 1 0 0 0 0 0
line_712 line_712 1 0 0 0 0 2
line_716 line_716 1 0 0 0 0 0
line_721 line_721 1 0 0 0 0 0
line_738 line_738 1 0 0 0 0 1
line_761 line_761 1 0 0 0 0 0
line_765 line_765 0 0 0 0 0 0
line_776 line_776 1 0 0 2 0 0
line_783 line_783 1 0 0 0 0 0
line_790 line_790 1 0 0 0 0 0
line_796 line_796 1 0 0 0 0 0
line_799 line_799 0 0 0 0 0 0
line_804 line_804 1 0 0 0 0 0
line_805 line_805 1 0 0 0 0 0
line_812 line_812 0 1 2 0 0 0
line_818 line_818 1 0 0 0 0 0
line_819 line_819 1 0 0 0 0 0
line_822 line_822 1 0 0 0 0 0
line_843 line_843 0 0 0 0 0 0
line_850 line_850 1 0 0 0 0 0
line_853 line_853 1 0 0 0 0 0
line_859 line_859 1 0 0 0 0 0
line_890 line_890 1 0 0 0 0 0
line_892 line_892 1 0 0 0 0 0
line_907 line_907 0 0 0 0 0 0
line_911 line_911 0 0 0 0 0 0
line_913 line_913 1 0 0 0 1 0
