COMPOUND,HMDB ID,KEGG ID,348 E,324 E,441 E,176 E,348 R,535 E,383 E,57 R,517 R,324 R,822 R,318 R,796 E,287 E,441 R,383 R,176 R,318 R,153 R,822 E,153 E,142 E,57 E,517 E,142 R,287 R,796 R,535 R,176 E,441 E,535 E,796 R,441 R,796 E,517 E,383 E,535 R,324 R,348 E,517 R,383 R,287 R,153 R,822 R,822 E,348 R,324 E,176 R,153 E,287 E,142 R,142 E,318 R,318 E
Trimethylamine (TMA),HMDB00906,C00565,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ethanolamine,HMDB00149,C00189,182560,99334,98588,126996,64651,239925,145591,94579,102056,183604,142762,54920,81642,92287,105971,125700,93583,54379,185312,159435,215088,39203,125894,152161,18919,30951,32222,161546,98398,66217,214342,17316,141691,24959,68687,105350,222513,232850,152034,83973,90684,74114,96172,133973,128808,70391,237246,110964,182992,115693,71159,81911,91429,152877
Aminoacetone,HMDB02134,C01888,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1-Methylguanidine,HMDB01522,C02294,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycine,HMDB00123,C00037,711091,165383,370117,617054,368177,475736,653905,328495,497000,360830,451203,213709,398205,282228,493094,633072,553871,189771,888152,563370,729990,130673,407842,672877,142739,85954,247213,433886,448391,283581,346783,80351,407940,78417,208077,370143,312256,286783,577631,354337,374218,206641,453194,322348,332323,235730,245240,347810,505076,289409,271520,238593,232438,349878
Trimethylamine-N-Oxide (TMAO),HMDB00925,C01104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Putrescine,HMDB01414,C00134,1198852,378449,510386,488861,358569,527589,444790,505631,814255,420831,620641,350820,683861,560521,535832,446493,424240,357637,464216,663426,660396,252509,584201,716233,188663,158831,186098,352871,292955,228699,280837,70370,359414,80789,271753,342428,232484,355605,1173711,361758,318511,194230,405554,333315,303997,179701,265040,278914,542498,331478,373347,220107,302964,441768
betaAlanine,HMDB00056,C00099,1250230,555852,1154776,1716695,801133,1234669,1432357,730314,1116463,1190500,1272907,462848,1814509,1020492,1440822,1448329,1456814,497321,2148407,2198836,2549174,373380,788531,1532613,252869,341783,871232,1022604,1083995,777697,892354,245910,1326797,296242,634978,1017088,853561,1101282,1376632,877659,956928,960826,988112,899386,1199707,584208,1143030,1002498,1943399,973915,731073,688102,859850,1490031
Alanine,HMDB00161,C00041,14855459,4378385,10899781,14495651,8250945,10389527,15084786,9109244,13572746,10247497,13534095,4499194,12697990,8512784,13782064,14661250,12552909,4268263,17707592,17765565,17153211,1414700,10675599,15289515,1191924,3247630,6523645,8299777,10981120,7750300,8071494,1320282,14726241,1559625,6884682,10685577,9388702,10392040,15409806,10752271,9450101,7968530,8422559,9835749,10540767,7153166,8643650,11869774,11706685,8242537,5659796,5780664,8461228,13904573
Sarcosine,HMDB00271 ,C00213,632100,162106,397884,1194086,240954,425997,685509,219814,347669,446791,770676,146850,874945,368254,623216,646734,1040874,204569,1038046,1778423,1219697,137193,308979,561990,93508,59897,246305,310511,763179,228814,242116,64687,455127,92680,246533,410509,264446,425102,682090,305616,363676,131941,353333,650066,791213,150281,359784,655246,874901,303389,462931,462426,299961,527312
