"Genotype","Treatment","mean","median","var","n","sd","se"
"100","EtOH",11.7670708955224,11.4645833333333,3.54236903393387,67,1.88211823059389,0.229937338444528
"100","Rapa",11.8700301204819,11.4645833333333,1.22507249654104,83,1.10682993117328,0.121490368329675
"101","EtOH",8.71159722222222,8.5,0.933949559596673,60,0.966410657845138,0.124763079447719
"101","Rapa",10.9107040229885,9.625,3.80526688113363,58,1.95070932768919,0.256140683365056
"105","EtOH",9.86287878787879,9.41666666666667,1.15459090324542,55,1.07451891711846,0.144888101227083
"105","Rapa",12.9146180555556,10.4645833333333,22.1348248428182,60,4.70476618365017,0.607382702569231
"109","EtOH",10.3440277777778,9.41666666666667,3.53841093848085,60,1.88106643648779,0.242844632720897
"109","Rapa",11.4136574074074,10.4645833333333,1.42912387014991,36,1.19545968988917,0.199243281648195
"129","EtOH",11.3059748427673,11.6666666666667,1.72692007841477,53,1.31412331172336,0.18050871919644
"129","Rapa",12.0705929487179,11.6666666666667,1.34298639260726,52,1.15887289752037,0.160706755913662
"136","EtOH",8.86234848484849,8.5,0.310192234848485,55,0.556949041518598,0.0750989934381746
"136","Rapa",11.1112840136054,9.625,12.8028793824995,49,3.57811114730936,0.511158735329909
"138","EtOH",9.17673423423423,9.46916666666667,0.436942746513637,74,0.661016449503064,0.0768416014255542
"138","Rapa",13.3915873015873,13.5604166666667,2.02329875709769,42,1.42242706565141,0.219485261306761
"142","EtOH",8.49807692307692,7.72083333333333,3.83943643162393,26,1.95944799155883,0.384279367108795
"142","Rapa",8.50568181818182,8.59583333333333,0.783282978595479,22,0.885032755662455,0.188689617505415
"149","EtOH",10.7613945578231,9.625,3.20694285188302,98,1.79079391664229,0.180897503166483
"149","Rapa",12.4052904040404,11.5833333333333,4.82806173630437,99,2.1972850830751,0.220835459939546
"153","EtOH",10.7253875968992,10.625,2.5797195882552,43,1.60615054968555,0.244935662565974
"153","Rapa",10.6781400966184,10.625,1.13786172681633,69,1.06670601705265,0.128416313854606
"176","EtOH",10.4327104810997,10.4645833333333,0.630209614162729,97,0.793857426848631,0.08060400940136
"176","Rapa",10.4481505102041,10.4645833333333,1.95293034817557,98,1.39747284344833,0.141166074875195
"177","EtOH",11.7342948717949,11.4645833333333,0.844448525047483,91,0.918938803755442,0.0963309613852209
"177","Rapa",11.7443859649123,11.4645833333333,2.09288961599477,95,1.4466822788694,0.148426470046523
"181","EtOH",8.81713927469136,8.5,2.64384330354206,216,1.62598994570755,0.110634602607756
"181","Rapa",14.3534987745098,12.4354166666667,21.0102508195466,68,4.58369401460728,0.555854546404037
"195","EtOH",9.85934782608696,9.625,5.70524391904895,92,2.38856524278675,0.249025141018387
"195","Rapa",10.2515681003584,9.625,3.41913342164043,93,1.849089890092,0.191741689523979
