Experiment,Exp_Genotype,Vial Number,Genotype,Replicate,Treatment,Wolbachia,Date,Day,Time,Media,Pupae,Experimenter,Observations
fDEV008,fDEV008_38,4,38,1,EtOH,0,7/8/2019,6,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_38,4,38,1,EtOH,0,7/13/2019,11,1600,Lee Group CT + antibiotics,0,MBL,
fDEV008,fDEV008_38,4,38,1,EtOH,0,7/14/2019,12,1500,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_38,4,38,1,EtOH,0,7/15/2019,13,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_38,4,38,1,EtOH,0,7/16/2019,14,1300,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_38,4,38,1,EtOH,0,7/17/2019,15,1330,Lee Group CT + antibiotics,0,JS,
fDEV008,fDEV008_38,4,38,1,EtOH,0,7/18/2019,16,1630,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_38,4,38,1,EtOH,0,7/19/2019,17,1230,Lee Group CT + antibiotics ,0,JS,
fDEV008,fDEV008_38,4,38,1,EtOH,0,7/20/2019,18,1900,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_38,4,38,1,EtOH,0,7/21/2019,19,1700,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_38,4,38,1,EtOH,0,7/22/2019,20,1600,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_38,4,38,1,EtOH,0,7/23/2019,21,1300,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_45,132,45,1,EtOH,0,7/8/2019,6,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_45,132,45,1,EtOH,0,7/9/2019,7,1400,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_45,132,45,1,EtOH,0,7/13/2019,11,1600,Lee Group CT + antibiotics,0,MBL,
fDEV008,fDEV008_45,132,45,1,EtOH,0,7/14/2019,12,1500,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_45,132,45,1,EtOH,0,7/15/2019,13,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_45,132,45,1,EtOH,0,7/16/2019,14,1300,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_45,132,45,1,EtOH,0,7/17/2019,15,1330,Lee Group CT + antibiotics,0,JS,2 bands of color
fDEV008,fDEV008_45,132,45,1,EtOH,0,7/18/2019,16,1630,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_45,132,45,1,EtOH,0,7/19/2019,17,1230,Lee Group CT + antibiotics ,0,JS,
fDEV008,fDEV008_45,132,45,1,EtOH,0,7/20/2019,18,1900,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_45,132,45,1,EtOH,0,7/21/2019,19,1700,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_45,132,45,1,EtOH,0,7/22/2019,20,1600,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_45,132,45,1,EtOH,0,7/23/2019,21,1300,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_83,1,83,1,EtOH,0,7/8/2019,6,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_83,1,83,1,EtOH,0,7/9/2019,7,1400,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_83,1,83,1,EtOH,0,7/14/2019,12,1500,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_83,1,83,1,EtOH,0,7/15/2019,13,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_83,1,83,1,EtOH,0,7/16/2019,14,1300,Lee Group CT + antibiotics,0,KH,
fDEV008,fDEV008_83,1,83,1,EtOH,0,7/17/2019,15,1330,Lee Group CT + antibiotics,0,JS,2 bands of color
fDEV008,fDEV008_83,1,83,1,EtOH,0,7/18/2019,16,1630,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_83,1,83,1,EtOH,0,7/19/2019,17,1230,Lee Group CT + antibiotics ,0,JS,
fDEV008,fDEV008_83,1,83,1,EtOH,0,7/20/2019,18,1900,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_83,1,83,1,EtOH,0,7/21/2019,19,1700,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_83,1,83,1,EtOH,0,7/22/2019,20,1600,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_83,1,83,1,EtOH,0,7/23/2019,21,1300,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_91,87,91,1,EtOH,0,7/8/2019,6,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_91,87,91,1,EtOH,0,7/12/2019,10,1500,Lee Group CT + antibiotics,0,JS,
fDEV008,fDEV008_91,87,91,1,EtOH,0,7/13/2019,11,1600,Lee Group CT + antibiotics,0,MBL,
fDEV008,fDEV008_91,87,91,1,EtOH,0,7/14/2019,12,1500,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_91,87,91,1,EtOH,0,7/15/2019,13,1330,Lee Group CT + antibiotics,0,VP,
fDEV008,fDEV008_91,87,91,1,EtOH,0,7/17/2019,15,1330,Lee Group CT + antibiotics,0,JS,
fDEV008,fDEV008_91,87,91,1,EtOH,0,7/18/2019,16,1630,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_91,87,91,1,EtOH,0,7/19/2019,17,1230,Lee Group CT + antibiotics ,0,JS,
fDEV008,fDEV008_91,87,91,1,EtOH,0,7/20/2019,18,1900,Lee Group CT + antibiotics ,0,KH,
fDEV008,fDEV008_91,87,91,1,EtOH,0,7/21/2019,19,1700,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_91,87,91,1,EtOH,0,7/22/2019,20,1600,Lee Group CT + antibiotics ,0,VP,
fDEV008,fDEV008_91,87,91,1,EtOH,0,7/23/2019,21,1300,Lee Group CT + antibiotics ,0,VP,
