vial,vial_color,3_28_10am,3_29_9:30am,3_30_10am,3_31_12pm,4_1_8am,4_2_11am,4_3_10am,4_4_2pm,4_5_12pm,4_6_2pm,4_7_1:30pm,4_10_10am,4_12_10am,4_14_2pm,4_18_10am
1,purple,2,9,4,5,1,2,,,,,,,,,
2,purple,,,,,,1,,,,,2,2,,,
3,purple,,,,,,,,,,,,,,,
4,purple,,,,2,1,1,2,2,1,,1,1,,,
5,purple,2,2,3,5,1,1,,2,1,,1,,,,
6,purple,,,,,,,,,1,,,,1,1,
7,purple,,,2,7,,,,,,,,,,,
8,purple,,,,1,5,1,,1,,1,,,,,
9,purple,,,,,2,4,,1,,,,,,,
10,purple,,,,,,,2,1,1,,1,1,,,
11,purple,,,,2,3,2,3,,,,,,,,
12,purple,,,,,,3,5,,1,,,2,,,
13,purple,,2,14,1,,1,1,,,,,,,,
14,purple,,,,1,,1,,,,,1,2,,,
15,purple,,,,3,8,6,,1,,,,,,,
16,purple,,,,,,,,,,,,1,2,,
17,purple,,1,8,7,1,,,,,,,,,,
18,purple,,,,,,,1,,1,,,2,1,,
19,purple,1,10,7,1,1,,,,,,,,,,
20,purple,,16,,10,,,,,,,,,,,
21,purple,,,,2,8,3,2,1,,,2,,,,
22,purple,,1,,1,3,2,,1,1,,,,,,
23,purple,,1,7,10,6,4,5,2,1,,,,,,
24,purple,,5,8,,,,1,2,,,,,,,
25,purple,,15,10,,,,1,,,,,,,,
26,purple,,,,6,4,6,1,2,,,1,,,,
27,purple,,,,7,4,5,3,2,1,,,,,,
28,purple,,,,,,,,,1,,,2,,,
29,purple,,3,14,2,2,2,,,,,,,,,
30,purple,,,,,,,,,,,,1,,,
31,purple,,,4,3,,1,,,,,,,,,
32,purple,,,,,,,1,,1,,,,,,
33,purple,,,,,,,,,,,,,,,
34,purple,,,,,,,,,,,,,,,
35,purple,,,,,,4,,,,,1,,,,
36,purple,,,,,,,,,,,,,,1,
37,purple,,14,9,3,,,1,,,,,,,,
38,purple,,2,,2,,1,,,,2,,3,,,
39,purple,,,3,11,4,6,,,,,,,,,
40,purple,,,,,4,1,,,1,3,,,,,
41,purple,,2,19,7,,,,,,,,,,,
42,purple,,,2,2,,1,1,1,,,1,,,,
43,purple,4,7,4,,,,,,,,,,,,
44,purple,3,3,2,2,,1,,1,1,,,,,,
45,purple,,,2,10,3,4,,,1,1,,,,,
46,purple,,,,1,1,4,1,2,,,1,,,,
47,purple,,7,3,,,1,2,2,2,,,,,,
48,purple,,,1,1,2,,1,,1,,,,,,
49,purple,,,15,14,,,1,,,,,,,,
50,purple,,,13,10,1,4,3,,1,,,,,,
51,purple,,,,,11,10,1,2,1,2,2,1,,,
52,purple,,,,,2,6,2,,1,2,,1,,,
53,purple,,,2,20,7,2,1,,,,,,,,
54,purple,,,2,8,3,4,,2,1,1,,,,,
55,purple,,7,13,3,1,,,,,,,,,,
56,purple,4,11,5,1,1,,,,,,,,,,
57,purple,,,1,4,4,5,1,,,,,,,,
