vial,vial_top_number_color,vial_topstripe,vial_bottomstripe,genotype,rapa,food
1,purple,black,black,57,control,100
2,purple,red,black,57,rapa,100
3,purple,black,green,57,control,50
4,purple,red,green,57,rapa,50
5,purple,black,purple,57,control,75
6,purple,red,purple,57,rapa,75
7,purple,black,black,129,control,100
8,purple,red,black,129,rapa,100
9,purple,black,green,129,control,50
10,purple,red,green,129,rapa,50
11,purple,black,purple,129,control,75
12,purple,red,purple,129,rapa,75
13,purple,black,black,348,control,100
14,purple,red,black,348,rapa,100
15,purple,black,green,348,control,50
16,purple,red,green,348,rapa,50
17,purple,black,purple,348,control,75
18,purple,red,purple,348,rapa,75
19,purple,black,black,383,control,100
20,purple,red,black,383,rapa,100
21,purple,black,green,383,control,50
22,purple,red,green,383,rapa,50
23,purple,black,purple,383,control,75
24,purple,red,purple,383,rapa,75
25,purple,black,black,439,control,100
26,purple,red,black,439,rapa,100
27,purple,black,green,439,control,50
28,purple,red,green,439,rapa,50
29,purple,black,purple,439,control,75
30,purple,red,purple,439,rapa,75
31,purple,black,black,443,control,100
32,purple,red,black,443,rapa,100
33,purple,black,green,443,control,50
34,purple,red,green,443,rapa,50
35,purple,black,purple,443,control,75
36,purple,red,purple,443,rapa,75
37,purple,black,black,517,control,100
38,purple,red,black,517,rapa,100
39,purple,black,green,517,control,50
40,purple,red,green,517,rapa,50
41,purple,black ? (see pg97),purple,517,control,75
42,purple,red,purple,517,rapa,75
43,purple,black,black,528,control,100
44,purple,red,black,528,rapa,100
45,purple,black,green,528,control,50
46,purple,red,green,528,rapa,50
47,purple,black,purple,528,control,75
48,purple,red,purple,528,rapa,75
49,purple,black,black,535,control,100
50,purple,red,black,535,rapa,100
51,purple,black,green,535,control,50
52,purple,red,green,535,rapa,50
53,purple,black,purple,535,control,75
54,purple,red,purple,535,rapa,75
55,purple,black,black,712,control,100
56,purple,red,black,712,rapa,100
57,purple,black,green,712,control,50
58,purple,red,green,712,rapa,50
59,purple,black,purple,712,control,75
60,purple,red,purple,712,rapa,75
61,purple,black,black,776,control,100
62,purple,red,black,776,rapa,100
63,purple,black,green,776,control,50
64,purple,red,green,776,rapa,50
65,purple,black,purple,776,control,75
66,purple,red,purple,776,rapa,75
67,purple,black,black,820,control,100
68,purple,red,black,820,rapa,100
69,purple,black,green,820,control,50
70,purple,red,green,820,rapa,50
71,purple,black,purple,820,control,75
72,purple,red,purple,820,rapa,75
73,purple,black,black,57,control,100
74,purple,red,black,57,rapa,100
75,purple,black,green,57,control,50
76,purple,red,green,57,rapa,50
77,purple,black,purple,57,control,75
78,purple,red,purple,57,rapa,75
79,purple,black,black,129,control,100
80,purple,red,black,129,rapa,100
81,purple,black,green,129,control,50
82,purple,red,green,129,rapa,50
83,purple,black,purple,129,control,75
84,purple,red,purple,129,rapa,75
85,purple,black,black,348,control,100
86,purple,red,black,348,rapa,100
87,purple,black,green,348,control,50
88,purple,red,green,348,rapa,50
89,purple,black,purple,348,control,75
90,purple,red,purple,348,rapa,75
91,purple,black,black,383,control,100
92,purple,red,black,383,rapa,100
93,purple,black,green,383,control,50
94,purple,red,green,383,rapa,50
95,purple,black,purple,383,control,75
96,purple,red,purple,383,rapa,75
97,purple,black,black,439,control,100
98,purple,red,black,439,rapa,100
99,purple,black,green,439,control,50
1,black,red,green,439,rapa,50
2,black,black,purple,439,control,75
3,black,red,purple,439,rapa,75
4,black,black,black,443,control,100
5,black,red,black,443,rapa,100
6,black,black,green,443,control,50
7,black,red,green,443,rapa,50
8,black,black,purple,443,control,75
9,black,red,purple,443,rapa,75
10,black,black,black,517,control,100
11,black,red,black,517,rapa,100
12,black,black,green,517,control,50
13,black,red,green,517,rapa,50
14,black,black ? (see pg97),purple,517,control,75
15,black,red,purple,517,rapa,75
16,black,black,black,528,control,100
17,black,red,black,528,rapa,100
