Sample ,Starvation time (PBS +kimwipe),Stage,ID,Empty weight,Loaded Weight,Sample weight,n larvae,Larval weight,V 80% MethOH,Mass Spec ID
W1118,t0,94 hours AEL,1,1015.6,1025,9.4,12,0.783333333,150 ul,1
W1118,t0,94 hours AEL,2,1000.1,1009.1,9,12,0.75,150 ul,2
W1118,t0,94 hours AEL,3,1005.7,1015.3,9.6,8,1.2,150 ul,3
W1118,t0,94 hours AEL,4,1015.7,1024.8,9.1,8,1.1375,150 ul,4
W1118,t0,94 hours AEL,5,1002.5,1012.4,9.9,8,1.2375,150 ul,5
W1118,t2h,96 hours AEL,11,1000.5,1009.9,9.4,10,0.94,150 ul,6
W1118,t2h,96 hours AEL,12,999.1,1008.4,9.3,9,1.033333333,150 ul,7
W1118,t2h,96 hours AEL,13,1006.7,1015.7,9,7,1.285714286,150 ul,8
W1118,t2h,96 hours AEL,14,1002.6,1011.9,9.3,7,1.328571429,150 ul,9
W1118,t2h,96 hours AEL,15,1001.3,1010.1,8.8,8,1.1,150 ul,10
W1118,t4h,98 hours AEL,21,1003,1012.4,9.4,10,0.94,150 ul,11
W1118,t4h,98 hours AEL,22,1010.2,1019,8.8,9,0.977777778,150 ul,12
W1118,t4h,98 hours AEL,23,1002.8,1011.3,8.5,7,1.214285714,150 ul,13
W1118,t4h,98 hours AEL,24,1004.5,1013.6,9.1,9,1.011111111,150 ul,14
W1118,t4h,98 hours AEL,25,1005.6,1013.9,8.3,7,1.185714286,150 ul,15
W1118,t6h,100 hours AEL,31,1010.3,1019.4,9.1,10,0.91,150 ul,16
W1118,t6h,100 hours AEL,32,1007.4,1016.5,9.1,9,1.011111111,150 ul,17
W1118,t6h,100 hours AEL,33,1004.6,1013.7,9.1,8,1.1375,150 ul,18
W1118,t6h,100 hours AEL,34,1003.4,1011.8,8.4,8,1.05,150 ul,19
W1118,t6h,100 hours AEL,35,1000,1009,9,9,1,150 ul,20
W1118,t8h,102 hours AEL,41,1003.2,1011.9,8.7,8,1.0875,150 ul,21
W1118,t8h,102 hours AEL,42,997.3,1007,9.7,8,1.2125,150 ul,22
W1118,t8h,102 hours AEL,43,1015.4,1025,9.6,8,1.2,150 ul,23
W1118,t8h,102 hours AEL,44,999.2,1008,8.8,9,0.977777778,150 ul,24
W1118,t8h,102 hours AEL,45,1003.2,1012.3,9.1,9,1.011111111,150 ul,25
